Config,Learning Rate,Gamma,GAE Lambda,Clip Range,Entropy Coef,Mean Reward
ppo_baseline,0.0003,0.99,0.95,0.2,0.01,410.68127
ppo_high_lr,0.001,0.99,0.95,0.2,0.01,205.05513
ppo_low_gamma,0.0003,0.95,0.95,0.2,0.01,319.4988
ppo_low_gae,0.0003,0.99,0.9,0.2,0.01,297.9775
ppo_high_clip,0.0003,0.99,0.95,0.3,0.01,419.35867
ppo_low_clip,0.0003,0.99,0.95,0.1,0.01,390.5901
ppo_high_ent,0.0003,0.99,0.95,0.2,0.05,379.52637
ppo_low_ent,0.0003,0.99,0.95,0.2,0.001,420.11703
ppo_balanced,0.0005,0.98,0.92,0.25,0.02,373.66016
ppo_conservative,0.0001,0.99,0.98,0.15,0.005,275.95526
